COUNTY,STATE,counter_sum
LETCHER,KY,1
69,ID,1
Jeruald,SD,1
KIOWA,OK,1
KINGSBURY,SD,1
KEWEENAW                                          ,MI,1
KERN ,CA,1
KEMBER,MS,1
KALAMAZOO                                         ,MI,1
Juab County,UT,1
Jones/Linn,IA,1
043,OK,1
61,MI,1
65,AL,1
55,OR,1
Jefferson County,TX,1
TANGIPAHOA,LA,1
Jefferson County,OR,1
041,WY,1
Jefferson,TN,1
TEHAMA ,CA,1
65,WI,1
TEXAS,OK,1
Jefferson,IL,1
68,WI,1
KLAMATH,OR,1
Kenosha,WI,1
LEFLORE,OK,1
LAKE,SD,1
LEELANAU                                          ,MI,1
LEELANAU,MI,1
LATIMER,OK,1
Stanely,SD,1
LANDER,NV,1
"Stanton County, KS",KS,1
LAKE - SONOMA,CA,1
LAKE                                              ,MI,1
Staton,KS,1
LAKE,TN,1
LAKE,OH,1
045,NM,1
LAKE,IL,1
LAKE,FL,1
"LACLEDE, CAMDEN",MO,1
LAC,CA,1
LA PAZ,AZ,1
51,OK,1
51,WI,1
Kitsap C,WA,1
53,MS,1
045,WV,1
67,WV,1
